Vin, V1, V2
0, 0.8, 0.8
0.005, 0.8, 0.8
0.01, 0.8, 0.8
0.015, 0.8, 0.8
0.02, 0.8, 0.8
0.025, 0.8, 0.8
0.03, 0.8, 0.8
0.035, 0.8, 0.8
0.04, 0.8, 0.8
0.045, 0.8, 0.8
0.05, 0.8, 0.8
0.055, 0.8, 0.8
0.06, 0.8, 0.8
0.065, 0.8, 0.8
0.07, 0.8, 0.8
0.075, 0.8, 0.8
0.08, 0.8, 0.8
0.085, 0.8, 0.8
0.09, 0.8, 0.8
0.095, 0.8, 0.8
0.1, 0.799999, 0.799999
0.105, 0.799999, 0.799999
0.11, 0.799999, 0.799999
0.115, 0.799999, 0.799999
0.12, 0.799999, 0.799999
0.125, 0.799999, 0.799999
0.13, 0.799998, 0.799998
0.135, 0.799998, 0.799998
0.14, 0.799998, 0.799998
0.145, 0.799997, 0.799997
0.15, 0.799997, 0.799997
0.155, 0.799996, 0.799996
0.16, 0.799995, 0.799995
0.165, 0.799994, 0.799994
0.17, 0.799992, 0.799992
0.175, 0.799991, 0.799991
0.18, 0.799988, 0.799988
0.185, 0.799986, 0.799986
0.19, 0.799983, 0.799983
0.195, 0.799979, 0.799979
0.2, 0.799974, 0.799974
0.205, 0.799967, 0.799967
0.21, 0.79996, 0.79996
0.215, 0.79995, 0.79995
0.22, 0.799938, 0.799938
0.225, 0.799923, 0.799923
0.23, 0.799904, 0.799904
0.235, 0.799881, 0.799881
0.24, 0.799851, 0.799851
0.245, 0.799814, 0.799814
0.25, 0.799766, 0.799766
0.255, 0.799706, 0.799706
0.26, 0.79963, 0.79963
0.265, 0.799532, 0.799532
0.27, 0.799407, 0.799407
0.275, 0.799247, 0.799247
0.28, 0.799041, 0.799041
0.285, 0.798775, 0.798775
0.29, 0.79843, 0.79843
0.295, 0.797982, 0.797982
0.3, 0.797397, 0.797397
0.305, 0.79663, 0.79663
0.31, 0.79562, 0.79562
0.315, 0.794281, 0.794281
0.32, 0.792493, 0.792493
0.325, 0.790083, 0.790083
0.33, 0.786791, 0.786791
0.335, 0.782208, 0.782208
0.34, 0.774349, 0.774349
0.345, 0.763312, 0.763312
0.35, 0.743315, 0.743315
0.355, 0.694739, 0.694739
0.36, 0.609049, 0.609049
0.365, 0.507848, 0.507848
0.37, 0.419951, 0.419951
0.375, 0.383238, 0.383238
0.38, 0.365771, 0.365771
0.385, 0.354338, 0.354338
0.39, 0.345799, 0.345799
0.395, 0.338735, 0.338735
0.4, 0.33259, 0.33259
0.405, 0.326785, 0.326785
0.41, 0.32173, 0.32173
0.415, 0.316931, 0.316931
0.42, 0.312316, 0.312316
0.425, 0.307834, 0.307834
0.43, 0.303449, 0.303449
0.435, 0.299133, 0.299133
0.44, 0.294865, 0.294865
0.445, 0.290631, 0.290631
0.45, 0.286419, 0.286419
0.455, 0.282221, 0.282221
0.46, 0.278029, 0.278029
0.465, 0.273839, 0.273839
0.47, 0.269645, 0.269645
0.475, 0.265444, 0.265444
0.48, 0.261234, 0.261234
0.485, 0.257011, 0.257011
0.49, 0.252776, 0.252776
0.495, 0.248525, 0.248525
0.5, 0.244259, 0.244259
0.505, 0.239976, 0.239976
0.51, 0.235676, 0.235676
0.515, 0.231361, 0.231361
0.52, 0.227029, 0.227029
0.525, 0.222684, 0.222684
0.53, 0.218325, 0.218325
0.535, 0.213957, 0.213957
0.54, 0.209581, 0.209581
0.545, 0.205201, 0.205201
0.55, 0.200823, 0.200823
0.555, 0.196453, 0.196453
0.56, 0.192097, 0.192097
0.565, 0.187764, 0.187764
0.57, 0.183466, 0.183466
0.575, 0.179215, 0.179215
0.58, 0.175026, 0.175026
0.585, 0.170916, 0.170916
0.59, 0.166906, 0.166906
0.595, 0.163016, 0.163016
0.6, 0.15927, 0.15927
0.605, 0.155688, 0.155688
0.61, 0.152291, 0.152291
0.615, 0.149093, 0.149093
0.62, 0.146104, 0.146104
0.625, 0.143327, 0.143327
0.63, 0.140758, 0.140758
0.635, 0.138389, 0.138389
0.64, 0.136209, 0.136209
0.645, 0.134204, 0.134204
0.65, 0.13236, 0.13236
0.655, 0.130662, 0.130662
0.66, 0.129096, 0.129096
0.665, 0.127649, 0.127649
0.67, 0.126311, 0.126311
0.675, 0.12507, 0.12507
0.68, 0.123917, 0.123917
0.685, 0.122844, 0.122844
0.69, 0.121842, 0.121842
0.695, 0.120906, 0.120906
0.7, 0.12003, 0.12003
0.705, 0.119208, 0.119208
0.71, 0.118435, 0.118435
0.715, 0.117708, 0.117708
0.72, 0.117022, 0.117022
0.725, 0.116374, 0.116374
0.73, 0.115761, 0.115761
0.735, 0.115181, 0.115181
0.74, 0.114631, 0.114631
0.745, 0.114108, 0.114108
0.75, 0.113612, 0.113612
0.755, 0.113139, 0.113139
0.76, 0.112688, 0.112688
0.765, 0.112258, 0.112258
0.77, 0.111847, 0.111847
0.775, 0.111455, 0.111455
0.78, 0.111079, 0.111079
0.785, 0.110719, 0.110719
0.79, 0.110374, 0.110374
0.795, 0.110043, 0.110043
0.8, 0.109725, 0.109725
